2517.79 58 
707.51 70 
470.937 69 
492.212 59 
313.226 60 
272.62 68 
223.911 71 
293.727 60 
277.695 61 
564.437 1 
259.978 55 
827.131 1 
649.065 1 
870.966 1 
1044.02 1 
1249.61 1 
1148.66 1 
951.668 1 
933.706 1 
1096.33 1 
855.871 1 
940.598 1 
856.682 1 
561.302 1 
936.859 1 
709.765 1 
757.1 1 
812.624 1 
831.18 1 
711.151 1 
831.971 1 
736.426 1 
765.61 1 
753.916 1 
713.075 1 
734.016 1 
687.937 1 
2009.19 151 
710.392 161 
642.356 181 
567.737 165 
421.063 162 
473.602 164 
336.617 156 
318.709 165 
314.114 155 
393.203 153 
279.81 148 
367.407 171 
334.709 163 
276.716 136 
280.157 156 
189.001 145 
441.064 143 
274.548 175 
324.225 147 
205.731 144 
257.831 112 
278.546 153 
281.131 149 
193.429 125 
446.195 127 
303.359 128 
227.124 136 
810.038 1 
1402.92 2 
1173.03 2 
175.643 13 
1215.82 4 
1305.09 1 
976.092 1 
1059.72 3 
1112.7 1 
699.561 1 
1751.17 254 
941.989 272 
737.452 260 
599.466 267 
492.112 249 
487.788 233 
498.215 246 
448.792 257 
361.354 252 
317.194 262 
418.035 261 
389.229 274 
377.459 244 
439.377 227 
402.073 264 
327.242 254 
350.536 277 
312.813 245 
273.005 265 
260.881 221 
350.937 270 
238.404 228 
225.411 280 
274.55 246 
242.367 255 
249.586 258 
279.141 261 
309.127 266 
308.379 237 
231.157 228 
249.682 241 
351.523 225 
596.938 229 
313.625 267 
287.976 206 
208.431 272 
384.535 232 
300.081 205 
151.402 196 
193.876 166 
398.794 208 
345.33 237 
257.602 214 
250.058 248 
467.799 264 
1296.86 1 
413.563 122 
888.912 2 
690.867 3 
498.601 4 
416.173 1 
1284.9 1 
1021.58 1 
1241.72 2 
1141.13 1 
1255.6 2 
1063.67 2 
1176.82 1 
1196.71 3 
1206.73 1 
1096.29 2 
1126.19 2 
1147.48 2 
1097.28 1 
1110.39 1 
1606.27 349 
939.113 366 
715.571 354 
656.073 346 
653.934 379 
531.463 387 
511.467 346 
531.15 376 
503.545 379 
484.34 333 
427.229 388 
394.528 346 
387.076 358 
333.345 361 
347.325 351 
367.675 379 
368.914 347 
379.782 371 
365.034 362 
404.389 342 
365.115 348 
350.993 352 
289.066 336 
319.67 381 
296.322 339 
305.823 359 
293.691 370 
290.703 339 
262.713 347 
291.074 345 
415.915 344 
349.588 325 
217.436 328 
276.82 347 
316.843 319 
273.776 332 
304.49 333 
368.825 361 
208.667 355 
374.533 320 
226.318 324 
340.046 355 
359.238 322 
260.422 340 
272.485 334 
334.532 355 
352.107 332 
226.849 328 
269.128 346 
347.364 291 
152.166 320 
252.931 325 
345.212 342 
257.644 304 
373.315 295 
375.953 356 
233.617 325 
180.957 312 
247.005 283 
388.391 302 
309.704 320 
208.339 321 
295.727 348 
216.328 232 
257.019 240 
519.365 295 
196.977 280 
254.462 273 
377.388 298 
930.515 7 
689.925 3 
310.688 216 
666.961 4 
995.904 1 
947.485 2 
883.368 4 
916.101 2 
1098.88 2 
1012.92 1 
1109.62 2 
680.869 3 
1049.65 2 
943.663 1 
1129.01 1 
824.865 3 
1081.36 6 
975.803 2 
1071.15 3 
1090.96 1 
953.04 2 
1052.09 3 
1005.76 1 
1011.45 2 
1069.49 1 
1000.84 1 
1014.78 1 
1033.92 3 
1084.15 2 
1028.4 1 
1008.98 1 
1034.69 2 
